scenario_id,regime,selection_order_within_regime,selection_criterion,level,spatial_step_m,maximum_time_step_s,cell_count,time_steps,unique_time_steps,cell_peclet_number,comparison_rows,active_rows,mae,rmse,r2,maximum_absolute_error,active_rmse,arrival_time_median_absolute_error_s,arrival_positions,missed_arrival_positions,minimum_normalized_concentration,maximum_normalized_concentration,mass_balance_maximum_absolute_residual,mass_balance_maximum_relative_residual,runtime_seconds
A5-CH-0057,decay_only,2,maximum_peclet_number,coarse,10,225,120,384,1,3.5,4410,362,0.0071391712831,0.0385847001204,0.976050555434,0.34355646152,0.130723165461,0,90,0,0,0.999965577137,8.10657964367e-15,2.31614884378e-14,0.00412049998704
A5-CH-0057,decay_only,2,maximum_peclet_number,medium,5,112.5,240,768,1,1.75,8820,724,0.00446184563305,0.0275065853158,0.987828678443,0.265075143104,0.0949659346945,0,180,0,0,0.999985741253,8.0998575902e-15,2.3142214369e-14,0.00890849999269
A5-CH-0057,decay_only,2,maximum_peclet_number,fine,2.5,56.25,480,1536,1,0.875,17640,1447,0.00271102866652,0.0186259284642,0.994419154057,0.191495488305,0.06483544208,0,360,0,0,0.999993861757,3.30499516643e-14,9.44273772293e-14,0.0201886249997
A5-CH-0043,decay_only,3,maximum_damkohler_number,coarse,10,225,120,386,6,0.744213642546,4410,454,0.00565106448159,0.0213400875492,0.984058009214,0.129927774023,0.066491957452,0,90,0,0,0.999217160734,4.44956571588e-15,4.36602699683e-13,0.00450741700479
A5-CH-0043,decay_only,3,maximum_damkohler_number,medium,5,112.5,240,770,6,0.372106821273,8820,906,0.0031257624357,0.0121085133406,0.994867469634,0.0708462094621,0.037777343991,0,180,0,0,0.999639088361,6.24413715178e-15,5.00259648744e-13,0.00861683300172
A5-CH-0043,decay_only,3,maximum_damkohler_number,fine,2.5,56.25,480,1538,8,0.186053410636,17640,1811,0.0016472405546,0.00648767048456,0.998526577237,0.0378092466916,0.0202475121058,0,360,0,0,0.999827217793,4.11042727633e-14,4.03815913035e-12,0.0206647499872
A5-CH-0053,decay_only,4,normalized_parameter_space_medoid,coarse,10,225,120,386,7,0.503266794771,4410,467,0.00503107798684,0.0199381535093,0.991656097883,0.136276157478,0.0612240953435,0,90,0,0,0.99997515904,1.33541181585e-14,5.39216026073e-14,0.00423591599974
A5-CH-0053,decay_only,4,normalized_parameter_space_medoid,medium,5,112.5,240,770,7,0.251633397386,8820,935,0.00280460140191,0.0116451246462,0.997153657424,0.079957881453,0.0357603019171,0,180,0,0,0.999988270886,5.351426767e-14,2.50930039012e-13,0.00927395900362
A5-CH-0053,decay_only,4,normalized_parameter_space_medoid,fine,2.5,56.25,480,1538,7,0.125816698693,17640,1868,0.00153008697962,0.00655467795898,0.999098218143,0.046706159251,0.0201413952556,0,360,0,0,0.999994308785,2.83823745756e-13,1.5964480186e-12,0.0205604580115
A5-CH-0116,retardation_and_decay,1,minimum_peclet_number,coarse,10,225,120,384,1,0.025,4410,4199,0.00271841898031,0.00449795854914,0.998654834332,0.0361561191597,0.0046095507399,0,90,0,0,0.993506396739,4.43601318872e-15,3.72735201478e-13,0.00395225000102
