scenario_id,regime,design_component,peclet_number,damkohler_number,rows,active_rows,mae,rmse,r2,active_mae,active_rmse,maximum_absolute_error,integrated_mass_relative_error,arrival_time_absolute_error_s,arrival_positions,missed_arrival_positions,pde_residual_rmse_s_1,initial_condition_maximum_absolute_error,inlet_boundary_maximum_absolute_error
A5-CH-0014,conservative,latin_hypercube,15.6587363897,0,2499,511,0.0041603266395,0.0155995603717,0.997357793621,0.0200396180815,0.0344315610491,0.185100927552,0.00151417448511,0,50,0,0.000140082510651,0,0
A5-CH-0015,conservative,latin_hypercube,52.7656327934,0,2499,284,0.00346791252467,0.0181857550069,0.993292226435,0.0285942995113,0.0526471993051,0.319411387064,0.0122136484607,1800,50,0,0.000160893706457,0,0
A5-CH-0016,conservative,latin_hypercube,17.514180754,0,2499,899,0.00865861594149,0.023063911621,0.988413340483,0.0236807701198,0.0383215471294,0.322981912163,0.040701904009,1800,50,0,0.000136335078226,0,0
A5-CH-0017,conservative,latin_hypercube,23.6723275738,0,2499,530,0.00508308515795,0.016170648032,0.996642050033,0.023509203185,0.0350190461836,0.133467720352,0.00984456130135,1800,50,0,7.07026625368e-05,0,0
A5-CH-0018,conservative,latin_hypercube,89.2843389213,0,2499,369,0.00325790596754,0.0191858610149,0.996405050146,0.0216142576209,0.0498434238561,0.223574098921,0.0134116180793,0,50,0,9.28765439959e-05,0,0
A5-CH-0019,conservative,latin_hypercube,86.8067578843,0,2499,229,0.00302214368614,0.0150182455899,0.994270542486,0.0322746364334,0.0495277435023,0.28000813713,0.0246978315115,1800,50,0,0.000111643607252,0,0
A5-CH-0020,conservative,latin_hypercube,76.2095306101,0,2499,343,0.00214326098634,0.00958934556337,0.99886475529,0.0150092659297,0.0257438486255,0.088941129375,0.0108596719415,1800,50,0,8.84360503929e-05,0,0
A5-CH-0021,conservative,latin_hypercube,31.481940928,0,2499,451,0.00488553814315,0.0208817256419,0.993682492554,0.0225977354611,0.0346579480761,0.474293828011,0.00642362025959,1800,50,0,0.00021239488997,0,0
A5-CH-0022,conservative,latin_hypercube,20.407410704,0,2499,402,0.00300847093156,0.0130050381396,0.997932117644,0.0167138742548,0.0301280993897,0.182030140655,0.00474071499841,1800,50,0,0.000291813071771,0,0
A5-CH-0023,conservative,latin_hypercube,198.74302948,0,2499,274,0.00234922739841,0.0127727158498,0.9978754688,0.0191183364274,0.0365650360225,0.149246585197,0.00959516708926,1800,50,0,0.000115892402018,0,0
A5-CH-0024,conservative,latin_hypercube,84.8611769303,0,2499,306,0.00310805694931,0.0140595181148,0.99626479893,0.0251116436187,0.0401554841642,0.160996589587,0.0201761495204,1800,50,0,9.86278459068e-05,0,0
A5-CH-0025,conservative,boundary_profile,50,0,2499,789,0.00708032361265,0.0226692590479,0.985932505557,0.0210070718465,0.0352761670068,0.428493767977,0.036031705298,1800,50,0,4.52140336989e-05,0,0
A5-CH-0026,conservative,boundary_profile,2.5,0,2499,2331,0.0199903461023,0.0531137693759,0.874206320636,0.0173191207379,0.036571865955,0.749450862408,0.00624876572984,1800,50,0,0.000598998289487,0,0
A5-CH-0027,conservative,boundary_profile,350,0,2499,205,0.00316533957551,0.0239067697598,0.990882963036,0.023824629139,0.0509805851359,0.550244092941,0.0147394256152,1800,50,0,0.000173483630547,0,0
A5-CH-0028,conservative,boundary_profile,17.5,0,2499,328,0.00452811027192,0.0276642635936,0.98669127438,0.0212929679622,0.035867542284,0.617877185345,0.00660462108742,1800,50,0,0.000415668955144,0,0
A5-CH-0029,conservative,boundary_profile,44.72135955,0,2499,207,0.00541736392936,0.0350065614166,0.90193520031,0.0471850479764,0.0844858181154,0.667089045048,0.0641989450529,1800,50,0,0.000193190958417,0,0
A5-CH-0030,conservative,boundary_profile,44.72135955,0,2499,463,0.00279500622279,0.0131351447008,0.998261880732,0.0150227616876,0.0305120559735,0.255335569382,0.00546597455468,0,50,0,0.000242909610213,0,0
A5-CH-0031,decay_only,latin_hypercube,138.623884276,0.011702390922,2499,271,0.00234963979355,0.0154010532015,0.996535310708,0.021404348385,0.0467477425757,0.449027743682,0.0151571876783,0,50,0,0.000147125206274,0,0
A5-CH-0032,decay_only,latin_hypercube,10.9844275059,0.0148656113488,2499,679,0.00780924577585,0.0237419896524,0.992922698606,0.0257433353683,0.0393989825935,0.342007011175,0.000376939729099,1800,50,0,0.000413938186604,0,0
A5-CH-0033,decay_only,latin_hypercube,20.7784574668,0.00199361291131,2499,497,0.00471056026991,0.0153723299497,0.996894937527,0.0226670913146,0.033814949214,0.119302806968,0.0132858766152,1800,50,0,0.000132161449947,0,0
A5-CH-0034,decay_only,latin_hypercube,31.6935280985,0.00239187553511,2499,265,0.0029696520554,0.014220552583,0.994966553812,0.0272552652449,0.0435580524934,0.197990343917,0.0193141426712,1800,50,0,0.000155465391751,0,0
A5-CH-0035,decay_only,latin_hypercube,31.7624683134,0.0011993387887,2499,660,0.00710034054177,0.0207897779928,0.993099581225,0.0257455759077,0.0385043138531,0.293560875786,0.0158506385341,1800,50,0,0.000105727248532,0,0
A5-CH-0036,decay_only,latin_hypercube,50.0969366763,0.00251897127259,2499,696,0.00704970254662,0.0204870373367,0.994797039053,0.0250018326793,0.0387407307315,0.224049732743,0.0144827972335,1800,50,0,4.6269101799e-05,0,0
A5-CH-0037,decay_only,latin_hypercube,99.3124834524,0.0318652206451,2499,333,0.00287517511188,0.013445856438,0.996621201134,0.0208652451541,0.0365019787435,0.236636390413,0.0113693147499,1800,50,0,7.68992474004e-05,0,0
A5-CH-0038,decay_only,latin_hypercube,35.8001885306,0.00472629125407,2499,458,0.0045638302172,0.0165655874941,0.99602086497,0.0227293781747,0.034290566244,0.268260210752,0.00936637704466,1800,50,0,0.000116036605137,0,0
A5-CH-0039,decay_only,latin_hypercube,21.2159188932,0.00539524880943,2499,393,0.00401901786389,0.0154917400226,0.995984079746,0.0251761037473,0.0390187071966,0.130330483866,0.0216477551772,0,50,0,8.90015412696e-05,0,0
A5-CH-0040,decay_only,latin_hypercube,22.9229152563,0.0427236498509,2499,653,0.00671054077733,0.0191596038239,0.994710080033,0.0256294507808,0.0374797031996,0.13711154617,0.0203624501193,0,50,0,6.39821993444e-05,0,0
A5-CH-0041,decay_only,latin_hypercube,143.093845199,0.00500782439438,2499,134,0.00310682169076,0.0172233656167,0.990162198834,0.055690889314,0.0739674953582,0.193129546271,0.0212550633659,0,50,0,9.49393084207e-05,0,0
A5-CH-0042,decay_only,latin_hypercube,21.107004115,0.0441396830623,2499,563,0.0057959038383,0.0184041062332,0.995572449672,0.0256103110624,0.0387673173959,0.177080390721,0.00829343582272,0,50,0,5.89043946468e-05,0,0
A5-CH-0043,decay_only,latin_hypercube,74.4213642545,0.132299668659,2499,266,0.00303532578918,0.0180031527408,0.988365530448,0.0222074043244,0.0329263105385,0.505759894848,0.0076422917431,1800,50,0,0.000123994006541,0,0
A5-CH-0044,decay_only,latin_hypercube,14.7610485235,0.0467277823608,2499,345,0.00449274661832,0.0179920513582,0.970356883656,0.0309493676343,0.0478466800081,0.197664147629,0.0181020268891,1800,50,0,0.000166402998509,0,0
A5-CH-0045,decay_only,latin_hypercube,56.3613339632,0.00361814924365,2499,636,0.00600724206439,0.0197294408612,0.985386456096,0.023433962659,0.0390678476628,0.206905256514,0.0606987052171,1800,50,0,3.33311223266e-05,0,0
A5-CH-0046,decay_only,latin_hypercube,78.4758631537,0.0448145607795,2499,377,0.00601594186312,0.0270555436144,0.992326415988,0.0375169444059,0.0686915309608,0.364529079562,0.0488461575816,1800,50,0,9.03462091263e-05,0,0
A5-CH-0047,decay_only,latin_hypercube,5.27884069078,0.0654101923024,2499,1216,0.0106243093824,0.027526403922,0.945753494608,0.0198150936555,0.0356816004141,0.340366542339,0.0389535033218,1800,50,0,0.000492639948298,0,0
A5-CH-0048,decay_only,latin_hypercube,40.9952375339,0.00124830235371,2499,337,0.00213040357077,0.00987111340138,0.998610772163,0.0155861563656,0.0268477523964,0.106401409121,0.0120541098815,0,50,0,8.77410405399e-05,0,0
A5-CH-0049,decay_only,latin_hypercube,111.467869329,0.000722512387965,2499,122,0.0050928427525,0.0326453426918,0.953336951295,0.0756929023166,0.108895165017,0.639009636286,0.0458315370986,1800,50,0,0.000149139048129,0,0
A5-CH-0050,decay_only,latin_hypercube,23.5793634419,0.0351564617844,2499,356,0.00389659544962,0.0192661046767,0.994280278973,0.0247800743647,0.0492203446487,0.389485757924,0.00994845319316,1800,50,0,0.000546379562119,0,0
A5-CH-0051,decay_only,latin_hypercube,10.654151799,0.0309814045983,2499,1335,0.00972004734066,0.0228787161006,0.978666338467,0.0181430312491,0.0312995193642,0.191515387452,0.106286226261,0,50,0,9.36913370865e-05,0,0
A5-CH-0052,decay_only,latin_hypercube,271.056676586,0.000452659952687,2499,199,0.00310336065808,0.0195584076448,0.993179986422,0.0370403271638,0.0687126901456,0.267345015738,0.00535293065733,1800,50,0,0.000133272776865,0,0
A5-CH-0053,decay_only,latin_hypercube,50.3266794772,0.00441450148605,2499,268,0.0024957450585,0.0126429960829,0.996634392052,0.022997675411,0.0385894290254,0.146023451935,0.0230290753215,0,50,0,8.91257010659e-05,0,0
A5-CH-0054,decay_only,latin_hypercube,65.8446318737,0.00311330863017,2499,240,0.00322895930029,0.0137003822425,0.992910899777,0.0327058519274,0.0439331691061,0.124578782477,0.042096197035,1800,50,0,7.62043423707e-05,0,0
